index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
34660,qt%2Fqtqa~master~Ie8ce7300c7c82676439a5a2dd6e71a91a6205e0b,https://codereview.qt-project.org/291665,1,5,0,0,164,241,2,5,95.8077777777778,330,refactoring/,refactor|,refactoring/,refactor|,Refactor cherry-pick bot to fix a few issues,Refactor cherry-pick bot to fix a few issues  Standardize naming of cherryPickJSON variable to proper camelCase Wrap decrementPickCountRemaining() calls to fix premature execution Ensure event listenr timeouts are cancelled if the event is received  Task-number: QTQAINFRA-3382 Change-Id: Ie8ce7300c7c82676439a5a2dd6e71a91a6205e0b
34820,qt%2Fqtwinextras~5.14~If0ec9a51790d661017ae410d6ebe89acbed6e2da,https://codereview.qt-project.org/290548,3,9,0,0,533,212,4,23,5.68583333333333,117,refactoring/,refactor|,refactoring/,refactor|,Code refactor,Code refactor  Use enum class everywhere. Logic is not touched.  Change-Id: If0ec9a51790d661017ae410d6ebe89acbed6e2da
34865,pyside%2Fpyside-setup~5.15~I342f25f39950811493b1d00479063f4828752f23,https://codereview.qt-project.org/286952,3,17,1,1,867,255,7,4,617.114166666667,379,refactoring/,refactor|,refactoring/,refactor|,shiboken: Refactor writing of get/setattro methods,WIP: shiboken: Refactor writing of get/setattro methods  get/setattro functions are needed for smartpointers to dispatch to the pointee functions and for QObjects to handle properties. Split apart those 2 cases.  todo : Make getattro flags more fine grained to contain     classNeedsGetattroFunction()  Task-number: PYSIDE-803 Change-Id: I342f25f39950811493b1d00479063f4828752f23
34940,qt%2Fqt5~5.14~I28d34e8a135efaf80be46201912e45f3a09b80a6,https://codereview.qt-project.org/289353,1,3,1,0,187,28,1,2,3.71611111111111,421,refactoring/,refactor|,refactoring/,refactor|,Refactor python3 installation in SLES-15 provisioning,Refactor python3 installation in SLES-15 provisioning  + Use DownloadURL to download from local cache + Verify download SHA + Silence the tarball extraction + Install some generic packages in 02-zypper.sh + Use some other generic facilities from common.sourced.sh + Other minor changes  Task-number: QTQAINFRA-3528 Change-Id: Ic085d43381e220a0a4a52ef6d5bb0cf8a9bf7032  Change-Id: I28d34e8a135efaf80be46201912e45f3a09b80a6
35111,qt%2Fqtmultimedia~dev~Ie6fe901f35989c5076eedaea4edf3b8c4d3f35f4,https://codereview.qt-project.org/341926,1,3,1,0,133,563,1,9,0.191944444444444,797,refactoring/,refactor|,refactoring/,refactor|,Further refactor the video sink implementation on macOS/iOS.,"Further refactor the video sink implementation on macOS/iOS.  Make sure we can deliver both SW buffers, textures and render onto native surfaces.  As we need different implementations for the player and capture pipelines, AVFVideoSink is now acting as a proxy to the class doing the actual rendering.  Fold the windowed mode handling into the AVFVideoRenderer class and use it when rendering windowed or fullscreen.  This also required some changes in AVFMediaPlayer to ensure that we always have a AVPlayerLayer available because loading content happends asynchronously, but we need the layer directly.  With this playback works both onto QVideoWidget and the QML VideoItem, although there are some R<->B issues when rendering using software.  Change-Id: Ie6fe901f35989c5076eedaea4edf3b8c4d3f35f4"
35335,qt-creator%2Fqt-creator~4.15~I2121cc804378865f733e37af8146cb65c86ac154,https://codereview.qt-project.org/340592,2,3,1,0,212,1794,1,22,0.0075,173,refactoring/,refactor|,refactoring/,refactor|,Refactor AnnotationEditors to support different views,Refactor AnnotationEditors to support different views  Change-Id: I67797e911c320d77b8d6a2eba75de69546b30546  Last fixes  Change-Id: I2121cc804378865f733e37af8146cb65c86ac154
35604,qt%2Fqtwebengine~wip%2Fqtpdf~Ib6dd93f87bf6278992000f5d2698f587e41a7bc2,https://codereview.qt-project.org/287232,1,3,0,0,121,57,1,3,1.52638888888889,105,refactoring/,refactor|,refactoring/,refactor|,WIP refactor to remove PdfDocument from PdfPageView,WIP refactor to remove PdfDocument from PdfPageView  Change-Id: Ib6dd93f87bf6278992000f5d2698f587e41a7bc2
36500,qbs%2Fqbs~1.14~I0439e8b3e0273593c8456d32b1c099ff09498f16,https://codereview.qt-project.org/275486,1,3,0,0,58,62,1,14,0.0711111111111111,438,refactoring/,refactor|,refactoring/,refactor|,Refactor the map file generation property,"Refactor the map file generation property  1. It is makes sense to define this property once inside of CppModule, instead of duplicate it in each other module.  2. A new property name 'generateLinkerMapFile' will be better than a previous, so, we can rename this property.  3. The map file generation is not necessary to be always enabled, so, we can disable this property by default.  Change-Id: I0439e8b3e0273593c8456d32b1c099ff09498f16"
37007,qt%2Fqtbase~dev~I28a473896539b79bbd4b6729b3a417631f9ac8c6,https://codereview.qt-project.org/270316,4,19,11,3,973,183,5,6,28.0322222222222,238,refactoring/,refactor|,refactoring/,refactor|,Refactor instantiation and lookup of calendars,Refactor instantiation and lookup of calendars  Get rid of the macros for the different calendar systems as well as having an instance of each calendar in read-write memory in Qt Core.  Change-Id: I28a473896539b79bbd4b6729b3a417631f9ac8c6
37057,qt%2Fqttools~dev~Ie6734f44af37bc502712a1c7405cf0b989cabf77,https://codereview.qt-project.org/269684,1,3,0,0,58,42,1,2,22.8872222222222,95,refactoring/,refactor|,refactoring/,refactor|,test: Refactor lupdate with friends in .h,test: Refactor lupdate with friends in .h  Change-Id: Ie6734f44af37bc502712a1c7405cf0b989cabf77
37195,qt-apps%2Fneptune3-ui~dev~I9811b871f4f49e0944d2acafff6d1dafed66fa96,https://codereview.qt-project.org/268865,3,3,1,0,133,304,1,11,0.218611111111111,201,refactoring/,refactor|,refactoring/,refactor|,[monitor] refactor network status,[monitor] refactor network status   Task-number: AUTOSUITE-799 Change-Id: I9811b871f4f49e0944d2acafff6d1dafed66fa96 Reviewed-by: Bramastyo Harimukti Santoso <bramastyo.harimukti.santoso@pelagicore.com>
37388,qt%2Fqtremoteobjects~5.11~Ic0b8a27c0537771b58966afab18e10e2c7d5233d,https://codereview.qt-project.org/228584,3,5,3,0,202,11,1,1,10121.8133333333,88,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor QIOQnxSource cleanup,WIP: Refactor QIOQnxSource cleanup  Change-Id: Ic0b8a27c0537771b58966afab18e10e2c7d5233d
37799,qt%2Fqtremoteobjects~5.12~I50bc111c19a0d033c85755ad44e90a02840c4e06,https://codereview.qt-project.org/262199,3,2,0,0,245,47,1,1,13.7163888888889,223,refactoring/,refactor|,refactoring/,refactor|,Refactor gadget enum checks,"Refactor gadget enum checks  Since the property logic (using QMetaProperty's enumerator() method) could fail anyway, extract the logic into one method used in all cases.  Change-Id: I50bc111c19a0d033c85755ad44e90a02840c4e06"
38232,qt%2Fqtdeclarative~5.12~I42851789787b8da96618d82227b34c53ace15e9b,https://codereview.qt-project.org/255649,2,3,0,0,323,63,1,3,116.621388888889,190,refactoring/,refactor|,refactoring/,refactor|,Refactor transform code in pinchhandler to a separate function,Refactor transform code in pinchhandler to a separate function  This is needed in order for the wheel handler to have the same behavior.  Change-Id: I42851789787b8da96618d82227b34c53ace15e9b
38255,qt%2Fqtwayland~dev~I747a47ffff01b7b5f6a0ede3552ab37884c4fa60,https://codereview.qt-project.org/255904,2,2,1,0,112,655,1,13,0.0261111111111111,1549,refactoring/,refactor|,refactoring/,refactor|,Client: Refactor cursors and fix various bugs,"Client: Refactor cursors and fix various bugs  This patch is mostly a cleanup to prepare for implementations of xcursor-configuration, but also fixes a couple of issues.  Most of the logic has now been moved out of QWaylandDisplay and QWaylandCursor and into QWaylandInputDevice and QWaylandInputDevice::Pointer. QWaylandDisplay now only contains mechanisms for avoiding loading the same theme multiple times.  There is now only one setCursor method on QWaylandInputDevice, accepting a QCursor and storing its values so changing scale factor doesn't require calling setCursor again. QWaylandInputDevice::Pointer::updateCursor() is called instead.  Cursor buffer scale is now set according to enter/leave events of the cursor surface itself instead of the current window, this fixes incorrect buffer scales for cursors on windows that span multiple outputs. The window buffer scale can still be passed into the seat as a fallback until the first enter event is received.  This also fixes a bug where the QWaylandBuffer of a bitmap cursor could be deleted while it was being used as a cursor.  [ChangeLog][QPA plugin] Fixed a bug where the DPI of bitmap cursors were not sent to the compositor, leading to the compositor incorrectly scaling the cursor up or down.  [ChangeLog][QPA plugin] Fixed a bug where bitmap cursor hotspots were off when the screen scale factor was different from the bitmap cursor device pixel ratio.  Task-number: QTBUG-68571 Change-Id: I747a47ffff01b7b5f6a0ede3552ab37884c4fa60 Reviewed-by: Paul Olav Tvete <paul.tvete@qt.io>"
38702,qt%2Fqtbase~dev~Idc1d7ef086fbc24b9d070e17b4a86550ce2c3811,https://codereview.qt-project.org/249093,3,16,6,0,620,431,5,2,157.226388888889,247,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor the data structures for connections,"Refactor the ConnectionListVector  Move it to be a member of QObjectPrivate and avoid one memory allocation. Do proper refcounting on it, and remove the need for the orphaned and inUse members.  Change-Id: Idc1d7ef086fbc24b9d070e17b4a86550ce2c3811"
38760,qt%2Fqtbase~dev~Ibba4b1a8dbd09de75146a9c37dfbd5f55c4f6a48,https://codereview.qt-project.org/249107,1,2,0,0,84,4,1,1,6.95527777777778,94,refactoring/,refactor|,refactoring/,refactor|,fixup! Refactor the ConnectionListVector,fixup! Refactor the ConnectionListVector  Change-Id: Ibba4b1a8dbd09de75146a9c37dfbd5f55c4f6a48
38794,qt%2Fqtbase~5.12~I1d567eee7427db374669e874794865238a383507,https://codereview.qt-project.org/247405,3,11,0,0,2044,429,2,5,354.796666666667,549,refactoring/,refactor|,refactoring/,refactor|,uic: Refactor include statement generation,WIP: uic: Refactor include statement generation  Introduce a datatype to represent an include with formatting with the intention of having the data available at the time of writing out the target language construct.  Split the code paths for Qt classes and custom widgets to make the handling clearer and not execute heuristics for known Qt classes. Populate a hash of known Qt widgets directly by initializer list.  Add some warnings about legacy form conversion errors.  Task-number: PYSIDE-797 Change-Id: I1d567eee7427db374669e874794865238a383507
38795,qt%2Fqtbase~5.12~Idc0c71663cc49d39138deb93f893208ae73ca9d5,https://codereview.qt-project.org/247404,1,4,0,0,166,116,2,5,354.795555555556,352,refactoring/,refactor|,refactoring/,refactor|,uic: Refactor CustomWidgetsInfo::extends(),"WIP: uic: Refactor CustomWidgetsInfo::extends()  Add a extendsOneOf() helper that takes a QStringList to be searched and simplify the code accordingly.  In WriteInitialization::acceptWidget(), move the variable CustomWidgetsInfo *cwi up and reuse everywhere to shorten code.  Task-number: PYSIDE-797 Change-Id: Idc0c71663cc49d39138deb93f893208ae73ca9d5"
38796,qt%2Fqtbase~5.12~Ie4c9dc371c33a6071172432e5df16783055203bf,https://codereview.qt-project.org/247403,3,5,1,0,278,120,2,3,354.793611111111,220,refactoring/,refactor|,refactoring/,refactor|,uic: Refactor DOM class lookup in class Driver,WIP: uic: Refactor DOM class lookup in class Driver  Change the API to take const Dom * classes and use a helper function to do the insertion.  Task-number: PYSIDE-797 Change-Id: Ie4c9dc371c33a6071172432e5df16783055203bf
38907,qt%2Fqtbase~5.12~I079f5c92bae85d6246c14077db06e381b572cda5,https://codereview.qt-project.org/247384,1,2,0,0,165,120,1,3,2.85055555555556,220,refactoring/,refactor|,refactoring/,refactor|,WIP: uic: Refactor DOM class lookup in class Driver,WIP: uic: Refactor DOM class lookup in class Driver  Change the API to take const Dom * classes and use a helper function to do the insertion.  Task-number: PYSIDE-797 Change-Id: I079f5c92bae85d6246c14077db06e381b572cda5
38908,qt%2Fqtbase~5.12~I331e135b6aa58dbbd413ca151eb67b3eb92f09c6,https://codereview.qt-project.org/247385,1,2,0,0,165,116,1,5,2.84861111111111,352,refactoring/,refactor|,refactoring/,refactor|,WIP: uic: Refactor CustomWidgetsInfo::extends(),"WIP: uic: Refactor CustomWidgetsInfo::extends()  Add a extendsOneOf() helper that takes a QStringList to be searched and simplify the code accordingly.  In WriteInitialization::acceptWidget(), move the variable CustomWidgetsInfo *cwi up and reuse everywhere to shorten code.  Task-number: PYSIDE-797 Change-Id: I331e135b6aa58dbbd413ca151eb67b3eb92f09c6"
38909,qt%2Fqtbase~5.12~Iacae6862a6ab3f97a69e512ac5565b8562dda21a,https://codereview.qt-project.org/247386,2,2,0,0,165,429,1,5,2.84583333333333,549,refactoring/,refactor|,refactoring/,refactor|,WIP: uic: Refactor include statement generation,WIP: uic: Refactor include statement generation  Introduce a datatype to represent an include with formatting with the intention of having the data available at the time of writing out the target language construct.  Split the code paths for Qt classes and custom widgets to make the handling clearer and not execute heuristics for known Qt classes. Populate a hash of known Qt widgets directly by initializer list.  Add some warnings about legacy form conversion errors.  Task-number: PYSIDE-797 Change-Id: Iacae6862a6ab3f97a69e512ac5565b8562dda21a
38985,qt%2Fqtbase~wip%2Fcmake~I315e2f1775dc0b580b1975c5a87b033644d9a3c3,https://codereview.qt-project.org/245653,5,2,0,0,85,23,1,3,167.7775,116,refactoring/,refactor|,refactoring/,refactor|,CMake: Refactor UIC test for easier reuse in a future QRC test,CMake: Refactor UIC test for easier reuse in a future QRC test  Change-Id: I315e2f1775dc0b580b1975c5a87b033644d9a3c3
39173,qt%2Fqtbase~5.11~I7a353de521e4f4321c770fb1ac6043d33f6f332c,https://codereview.qt-project.org/243148,2,2,2,0,166,114,1,5,283.4725,495,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor lockedAlphaMapForGlyph,WIP: Refactor lockedAlphaMapForGlyph  Simply return a Glyph pointer and not a QImage to avoid allocating and deleting lots of d pointers for QImage when drawing text. Saves one new/delete pair per glyph drawn and speeds up text drawing by 10% for relatively large glyphs (probably more for smaller ones).  The qtext::paintLayoutToPixmap() benchmark shows a 16% improvement in performance with this change.  Renamed the method to glyphData().  Change-Id: I7a353de521e4f4321c770fb1ac6043d33f6f332c
39270,qt%2Fqtwebengine~5.12~If87ac507887d31f7f693d7f87ed8752938119527,https://codereview.qt-project.org/240828,2,5,0,0,210,92,2,4,523.560277777778,475,refactoring/,refactor|,refactoring/,refactor|,Refactor relation between QQuickWebEngineView and RWHVQDQ,"Refactor relation between QQuickWebEngineView and RWHVQDQ  Make QQuickWebEngineView aware of it's main RWHVQDQ and vice-versa. There's one behavior change: instead of stacking multiple RWHVQDQs on top of one another, we only show one main RWHVQDQ at a time. A side-effect of this change is to create bug parity between the Widgets and Quick APIs by introducing QTBUG-68727 also on the Quick side.  Task-number: QTBUG-68727 Change-Id: If87ac507887d31f7f693d7f87ed8752938119527"
39271,qt%2Fqtwebengine~5.12~I48501b13c040453c6b3d7feb1fac4c3597d8720f,https://codereview.qt-project.org/240827,2,5,2,0,256,153,2,6,523.558888888889,731,refactoring/,refactor|,refactoring/,refactor|,Refactor relation between QWebEnginePage and RWHVQDW,"Refactor relation between QWebEnginePage and RWHVQDW  Make QWebEnginePage aware of it's main RWHVQDW and vice-versa. Only once both a RWHVQDW and a QWebEngineView are bound to a QWebEnginePage will the RWHVQDW be added to the layout of the QWebEngineView.  There is one behavior change in that the old RWHVQDW is hidden as soon as a new one is bound to the page. Previously, the old RWHVQDW would be removed from the layout, but still shown. The difference can be seen in the scenario described in the bug ticket, which now results in a blank page instead of a RWHVQDW which is not the focus proxy and is not resized when the QWebEngineView is resized.  Task-number: QTBUG-68727 Change-Id: I48501b13c040453c6b3d7feb1fac4c3597d8720f"
39272,qt%2Fqtwebengine~5.12~I683afbb4fc0dec3b1caad4e485a1762eea8d1fe5,https://codereview.qt-project.org/240826,6,10,12,0,369,115,2,4,523.555833333333,336,refactoring/,refactor|,refactoring/,refactor|,Refactor QWebEnginePage::setView and QWebEngineView::setPage,"Refactor QWebEnginePage::setView and QWebEngineView::setPage  Use a pattern similar to QWebEnginePage::setInspectedPage/setDevToolsPage, but try to separate the meaningful code from the boilerplate code by moving it to separate bind/unbind helper functions.  Task-number: QTBUG-68727 Change-Id: I683afbb4fc0dec3b1caad4e485a1762eea8d1fe5"
39512,qt%2Fqtbase~5.12~Ib7b5417ca5c5cd3803a1f81ad1df190b5943b74c,https://codereview.qt-project.org/238676,4,6,0,0,281,22,2,1,247.076944444444,160,refactoring/,refactor|,refactoring/,refactor|,qt_docs: Refactor internal names,qt_docs: Refactor internal names  Make the qmake names the same as the environment variables they specify.  Change-Id: Ib7b5417ca5c5cd3803a1f81ad1df190b5943b74c
39885,pyside%2Fpyside-setup~dev~I8ac1bc3d7bf99597c71fe04f0e34ba0112fff7ba,https://codereview.qt-project.org/234596,1,10,1,0,527,49,5,2,49.4608333333333,228,refactoring/,refactor|,refactoring/,refactor|,WIP: shiboken: Refactor remaining attribute parsing in parser,"WIP: shiboken: Refactor remaining attribute parsing in parser  Do not put all attributes in a hash first, but operate on a QXmlStreamAttributes list.  Task-number: PYSIDE-743  Change-Id: I8ac1bc3d7bf99597c71fe04f0e34ba0112fff7ba"
40721,pyside%2Fpyside-setup~6.1~I05da179b8eef6f9a9b86a66e1c40762b655bd724,https://codereview.qt-project.org/353916,3,6,0,0,647,26,2,1,3.69555555555556,462,refactoring/,refactor|,refactoring/,refactor|,PySide6: Refactor qvariant conversion code,PySide6: Refactor qvariant conversion code  Use a switch on the meta type id instead of string comparison and catch None-cases in qvariant conversion early on (QMetaType::Nullptr and QMetaType::VoidStar with 0).  Task-number: PYSIDE-1585 Change-Id: I05da179b8eef6f9a9b86a66e1c40762b655bd724 Reviewed-by: Qt CI Bot <qt_ci_bot@qt-project.org> Reviewed-by: Christian Tismer <tismer@stackless.com> (cherry picked from commit f8205c58207fd6c35ce743fc931392bac49ccc2f)
40851,qt%2Fqtconnectivity~6.2~I0d7d781bd2b97e16f7fba530eeffd407c7eaff61,https://codereview.qt-project.org/353713,3,6,0,0,814,190,2,5,1.57888888888889,893,refactoring/,refactor|,refactoring/,refactor|,AnnotatedUrl: refactor UI,"AnnotatedUrl: refactor UI  This patch refactors the UI layout, so that it handles screen rotation correctly. The *.ui files are removed. The layout is created directly from the source code instead. The application now has two different labels to show the icon. Depending on the actual screen orientation, one of them shows the icon, and the other is hidden. The icon is properly scaled before it's shown, so that the layout does not expand beyond the visible screen rectangle. Also this patch introduces a code that handles screen orientation change, and the screen change (in case the application is dragged to the other monitor). The latter is not really applicable to mobile devices though.  Task-number: QTBUG-94033 Change-Id: I0d7d781bd2b97e16f7fba530eeffd407c7eaff61 Reviewed-by: Alex Blasche <alexander.blasche@qt.io> (cherry picked from commit 6d4d0ca9ea79ae64ab1bea33e9b99a76430ffc3c)"
40869,qt%2Fqtconnectivity~dev~I0d7d781bd2b97e16f7fba530eeffd407c7eaff61,https://codereview.qt-project.org/353256,2,10,1,1,872,190,3,5,63.1730555555556,772,refactoring/,refactor|,refactoring/,refactor|,AnnotatedUrl: refactor UI,"AnnotatedUrl: refactor UI  This patch refactors the UI layout, so that it handles screen rotation correctly. The *.ui files are removed. The layout is created directly from the source code instead. The application now has two different labels to show the icon. Depending on the actual screen orientation, one of them shows the icon, and the other is hidden. The icon is properly scaled before it's shown, so that the layout does not expand beyond the visible screen rectangle. Also this patch introduces a code that handles screen orientation change, and the screen change (in case the application is dragged to the other monitor). The latter is not really applicable to mobile devices though.  Task-number: QTBUG-94033 Change-Id: I0d7d781bd2b97e16f7fba530eeffd407c7eaff61"
41143,pyside%2Fpyside-setup~6.1~Id4d020a163c79010616749701251891545858447,https://codereview.qt-project.org/352715,3,6,0,0,642,59,2,1,2.30916666666667,932,refactoring/,refactor|,refactoring/,refactor|,Refactor macro create_pyside_module(),"Refactor macro create_pyside_module()  - Introduce a list variable shiboken_command to which elements   can be appended, avoiding empty options (--drop-type-entries) - Use the include directories from Qt6::Platform instead of the   global QT_INCLUDE_DIR since it also has the mkspecs directory   containing qplatformdefs.h. - Introduce list variables for the shiboken include directories   and framework include directories as an extension point where   other directories can be added. - Remove old workaround for   qtdeclarative/8d560d1bf0a747bf62f73fad6b6774095442d9d2. - Move positional arguments (global header and typesystem)   to end of argument list.  Task-number: PYSIDE-802 Task-number: PYSIDE-1568 Change-Id: Id4d020a163c79010616749701251891545858447 Reviewed-by: Christian Tismer <tismer@stackless.com> Reviewed-by: Qt CI Bot <qt_ci_bot@qt-project.org> (cherry picked from commit 30ebb333394a1a98d08d9ca45186af0ec8f1a59f)"
41171,pyside%2Fpyside-setup~dev~Id4d020a163c79010616749701251891545858447,https://codereview.qt-project.org/352106,5,65,3,2,28983,54,14,1,76.3352777777778,674,refactoring/,refactor|,refactoring/,refactor|,Refactor macro create_pyside_module(),"Refactor macro create_pyside_module()  - Introduce a list variable shiboken_command to which elements   can be appended, avoiding empty options (--drop-type-entries) - Use the include directories from Qt6::Platform instead of the   global QT_INCLUDE_DIR since it also has the mkspecs directory   containing qplatformdefs.h. - Introduce list variables for the shiboken include directories   and framework include directories as an extension point where   other directories can be added. - Remove old workaround for   qtdeclarative/8d560d1bf0a747bf62f73fad6b6774095442d9d2.  Task-number: PYSIDE-802 Task-number: PYSIDE-1568 Change-Id: Id4d020a163c79010616749701251891545858447"
41193,qt%2Fqtquick3d~dev~Ieb22ff7543e351d1294b806d4de8aec6241194d8,https://codereview.qt-project.org/352686,10,19,2,0,28325,342,5,2,4.14138888888889,609,refactoring/,refactor|,refactoring/,refactor|,Refactor shared code into addOpaqueDepthPrePassBindings method,"Refactor shared code into addOpaqueDepthPrePassBindings method  For the depth and shadow passes there is a block of common code for binding the necessary texture samplers for calculating the alpha value. This code has now be refectored into a new method.  Code has also be added to ensure that that all samplers will be bound to textures, and when they are not defined in custom materials, dummy textures will be used like in the main render pass.  A lancelot test has also be added to test the dummy texture mechanism in all paths (color, depth, shadow).  Change-Id: Ieb22ff7543e351d1294b806d4de8aec6241194d8"
41367,qt%2Fqtconnectivity~dev~I2c5ff047145b1c23e835401f3b47af0b0ecfa35f,https://codereview.qt-project.org/352415,3,12,3,2,2481,38,2,4,18.2672222222222,190,refactoring/,refactor|,refactoring/,refactor|,QtNFC: refactor main module page,QtNFC: refactor main module page  Update the main module page to be in line with the rest of the documentation.  Task-number: QTBUG-94000 Change-Id: I2c5ff047145b1c23e835401f3b47af0b0ecfa35f
41685,qtqa%2Fgerrit-plugin-qt-workflow~v3.1-based~I613036582ef285b3bcff0c69dcc078b8beaf5274,https://codereview.qt-project.org/341086,4,12,0,0,392,181,5,1,54.5586111111111,121,refactoring/,refactor|,refactoring/,refactor|,Refactor logging and exception handling when rebuilding staging ref,Refactor logging and exception handling when rebuilding staging ref  Change-Id: I613036582ef285b3bcff0c69dcc078b8beaf5274
41951,qt%2Fqtwebglplugin~5.10~Ia5b54d271ed72bc408d94d24eb275f7d83f290f1,https://codereview.qt-project.org/215911,6,18,6,0,812,6,6,1,163.171666666667,104,refactoring/,refactor|,refactoring/,refactor|,WebSocket Server refactor,WebSocket Server refactor  Task-number: QTBUG-65241 Change-Id: Ia5b54d271ed72bc408d94d24eb275f7d83f290f1
42085,qt-creator%2Fqt-creator~4.6~Ia0de109e92b128aef4c18255621767280e0dcfef,https://codereview.qt-project.org/216272,5,3,0,0,96,171,2,4,4.59305555555556,240,refactoring/,refactor|,refactoring/,refactor|,QmlDesigner: Refactor DesignDocument and DesignDocumentView,QmlDesigner: Refactor DesignDocument and DesignDocumentView  We want to be able to reuse the copy and paste code in other parts. Therefore we move most of the code to DesignDocumentView.  Change-Id: Ia0de109e92b128aef4c18255621767280e0dcfef
42203,qt%2Fqttools~dev~I98cc1328492741aec8331e04c620871f6dfe0690,https://codereview.qt-project.org/214727,4,28,5,0,1091,67,9,2,528.367777777778,274,refactoring/,refactor|,refactoring/,refactor|,Qt Designer: Refactor class TranslatablePropertyManager,Qt Designer: Refactor class TranslatablePropertyManager  Use QHash instead of QMap for the property mappings. Use iterators/ find/erase instead of value()/remove() in destroy()/uninitialize() to avoid duplicated lookups.  Change-Id: I98cc1328492741aec8331e04c620871f6dfe0690
42487,qt3dstudio%2Fqt3d-runtime~master~Iad98d291f9d8552dbb49912f2812c19e77f57380,https://codereview.qt-project.org/215673,2,17,0,0,73651,31,3,3,22.8736111111111,153,refactoring/,refactor|,refactoring/,refactor|,Refactor how features are added to custom frag shaders,Refactor how features are added to custom frag shaders  This mirrors how it is done in Qt 3D Studio  Change-Id: Iad98d291f9d8552dbb49912f2812c19e77f57380
42531,qt%2Fqtwebengine~5.9~Ib82cb06ceda938548429cd694b849a2faadd2633,https://codereview.qt-project.org/213908,6,7,1,0,909,34,2,2,651.590277777778,209,refactoring/,refactor|,refactoring/,refactor|,Refactor QWebEngineView tooltip handling,Refactor QWebEngineView tooltip handling  Hide tooltip on empty text and make tooltips more fluent by ignoring duplicate requests.  Task-number: QTBUG-64933 Change-Id: Ib82cb06ceda938548429cd694b849a2faadd2633
42657,qt%2Fqttools~5.10~Ia745066ec394f72d64b4ffe74ece4bbbf48aa2ac,https://codereview.qt-project.org/215455,4,4,0,0,570,25,2,1,21.3455555555556,224,refactoring/,refactor|,refactoring/,refactor|,macdeployqt: refactor plugin handling,"macdeployqt: refactor plugin handling  Rather than adding new cases per module, use a map that will make it cleaner to associate modules with their corresponding plugins.  Change-Id: Ia745066ec394f72d64b4ffe74ece4bbbf48aa2ac"
43508,pyside%2Fpyside-setup~5.9~I6cbe1cfa02207230e914ad41dddba46c866cb689,https://codereview.qt-project.org/213410,4,8,1,0,1587,46,2,2,45.7013888888889,290,refactoring/,refactor|,refactoring/,refactor|,shiboken: Refactor copying of the MetaLang* classes,shiboken: Refactor copying of the MetaLang* classes  Disable copying of the base classes AbstractMetaAttributes and AbstractMetaVariable and refactor the copy() functions of the derived classes in terms of protected assign*() functions.  Change-Id: I6cbe1cfa02207230e914ad41dddba46c866cb689
43566,pyside%2Fpyside-setup~5.9~I1423f120b2117237c2674cdbb6d06923c842999f,https://codereview.qt-project.org/213532,4,6,2,0,472,262,2,5,3.01,350,refactoring/,refactor|,refactoring/,refactor|,Refactor typesystem modification structs,"Refactor typesystem modification structs  - Use member initialization where possible - Make constructors explicit - Remove unused version attributes, unused comparison operators of   FunctionModification and unused struct ExpensePolicy - Rearrange members to minimize Clang warnings about padding  Change-Id: I1423f120b2117237c2674cdbb6d06923c842999f"
43639,qt%2Fqttools~dev~I60b2dcdaa3da1d138a0e6b4eb3d4f78cba0053d4,https://codereview.qt-project.org/212892,3,4,0,0,413,164,2,7,125.6925,454,refactoring/,refactor|,refactoring/,refactor|,qdoc: Partial refactor of Node hierarchy,"qdoc: Partial refactor of Node hierarchy  Ironically, The Node suclass CollectionNode should not be a subclass of Aggregate because CollectionNode never has children. It only has members, which are children of other Aggregate nodes. This update makes CollectionNode a subclass of LeafNode instead of Aggregate. This refactoring is necessary to implement the task QTBUG-45725.  Change-Id: I60b2dcdaa3da1d138a0e6b4eb3d4f78cba0053d4 Task-number: QTBUG-45725"
44049,qt%2Fqtdeclarative~dev~I7d8451cc54c0ac50c1bcb4ae3bf386fd5f2a84aa,https://codereview.qt-project.org/211217,4,44,0,0,168363,415,8,4,334.503611111111,294,refactoring/,refactor|,refactoring/,refactor|,Refactor getter lookups,Refactor getter lookups  Use the new id of InternalClass to simplify out lookup code for getters. Now all lookups in the prototype chain can be done at the same speed independent of the depth within the prototype chain with only two checks.  Change-Id: I7d8451cc54c0ac50c1bcb4ae3bf386fd5f2a84aa
44696,qt%2Fqtbase~5.10~I5a33103566367f2313930479844365e79773d82f,https://codereview.qt-project.org/208863,6,24,6,0,64702,110,5,2,661.774166666667,279,refactoring/,refactor|,refactoring/,refactor|,QMenu: Refactor insertion of action in QPA menu,"QMenu: Refactor insertion of action in QPA menu  First, remove a bit of code duplication around the creation of the platform menu item. Then, we move copyActionToPlatformItem() inside QMenuPrivate to get rid of one parameter.  Change-Id: I5a33103566367f2313930479844365e79773d82f"
